OSS Title,License Name/Version #,Description,Version
chrony,GPL-2.0,An NTP client/server,4.3.3
xCATsn,Eclipse Public License 1.0,"xCAT is an open-source tool for automating deployment, scaling, and management of bare metal servers and virtual machines",2.17
passlib,BSD licence,"Passlib is a password hashing library for Python 2 & 3, which provides cross-platform implementations of over 30 password hashing algorithms, as well as a framework for managing existing password hashes",1.7.4
distllb,PSF-2.0,A low-level library which implements some Python packaging standards (PEPs) and which could be used by third-party packaging tools to achieve interoperability.,0.3.9
pexpect,ISC LICENSE,A Python module for controlling interactive programs in a pseudo-terminal,4.9.0
logger,GPL-2.0,Python logging helper,1.4
prettytable,BSD-3-Clause,Display tabular data in a visually appealing ASCII table format,3.14.0
toml,MIT License,Python lib for TOML,0.10.2
http-client,MIT License,Twilio SendGrid's Python HTTP Client for calling APIs,0.1.22
gitPython,BSD-3-Clause,GitPython is a python library used to interact with Git repositories.,3.1.44
ansible-lint,GPL-3.0 license,ansible-lint checks playbooks for practices and behavior that could potentially be improved and can fix some of the most common ones for you,25.6.0
passwd,MIT License,Assorted utilities for gracefully handling and generating passwords,0.18.14
iprange-python,MIT License,IPRange - Redis as a storage for IP range,0.0.9
pigz,zlib,"A parallel implementation of gzip for modern multi-processor, multi-core machines.",2.7
bash-completion,GPL-2.0-or-later,Programmable completion for Bash,2.11.9
sshpass,GPL-2.0,Non-interactive SSH authentication utility,1.09
pdsh,GPL-2.0 license,"A high performance, parallel remote shell utility",2.34
clustershell,GPL-2.0 license,"Scalable cluster administration Python framework — Manage node sets, node groups and execute commands on cluster nodes in parallel.",1.9.3
containers.podman,GPL-3.0-or-later,"Repository for Ansible content that can include playbooks, roles, modules, and plugins for use with the Podman tool",1.16.2
ansible-core,GPL-3.0 license,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems.",2.16.14rc1
kernel-devel,GNU GENERAL PUBLIC LICENSE Version 2,This package is commonly used in various Linux distributions to ensure compatibility,5.14.0-570.12.1.el9_6
kernel-headers,GNU GENERAL PUBLIC LICENSE Version 2,The kernel-header package contains the header files for the Linux kernel,5.14.0-570.12.1.el9_6
amdgpu-dkms,MIT License,The amdgpu-dkms package provides the Direct Rendering Manager (DRM) kernel modules for AMD GPUs.,6.10.5.60301
elfutils-libelf-devel,GNU GENERAL PUBLIC LICENSE Version 3,The elfutils-libelf-devel package contains libraries that provide development support for handling compiled objects in the ELF (Executable and Linkable Format) object file format.,0.192
bind,Apache License 2.0,"BIND (Berkeley Internet Name Domain) is a complete, highly portable implementation of the Domain Name System (DNS) protocol",9.16.23
initscripts,GPL-2.0 license,Basic support for legacy System V init scripts,10.11.8
gcc-gfortran,GPL-3.0 license,gfortran is a new compiler,11.5.0
